T(sec)	WE1 Volts(mV)	WE1 Idir(mA)	WE1 Idif (mA)	
16.3600	-132.994	-0.011870	
16.3800	-133.994	-0.011902	
16.4000	-134.989	-0.011930	
16.4200	-135.981	-0.011953	
16.4400	-136.975	-0.011979	
16.4600	-137.970	-0.012007	
16.4800	-138.965	-0.012034	
16.5000	-139.962	-0.012067	
16.5200	-140.957	-0.012104	
16.5400	-141.953	-0.012138	
16.5600	-142.946	-0.012170	
16.5800	-143.940	-0.012198	
16.6000	-144.939	-0.012231	
16.6200	-145.935	-0.012261	
16.6400	-146.933	-0.012292	
16.6600	-147.932	-0.012318	
16.6800	-148.929	-0.012344	
16.7000	-149.920	-0.012372	
16.7200	-150.916	-0.012402	
16.7400	-151.918	-0.012435	
16.7600	-152.919	-0.012470	
16.7800	-153.917	-0.012500	
16.8000	-154.913	-0.012531	
16.8200	-155.904	-0.012560	
16.8400	-156.896	-0.012583	
16.8600	-157.889	-0.012609	
16.8800	-158.886	-0.012632	
16.9000	-159.887	-0.012662	
16.9200	-160.886	-0.012692	
16.9400	-161.884	-0.012723	
16.9600	-162.881	-0.012754	
16.9800	-163.877	-0.012787	
17.0000	-164.876	-0.012820	
17.0200	-165.877	-0.012853	
17.0400	-166.875	-0.012883	
17.0600	-167.868	-0.012910	
17.0800	-168.863	-0.012936	
17.1000	-169.860	-0.012963	
17.1200	-170.860	-0.012992	
17.1400	-171.861	-0.013024	
17.1600	-172.867	-0.013059	
